manufacturer,device,Network_Technology,Network_2G bands,Network_GPRS,Network_EDGE,Body_,Display_Resolution,Main Camera_Video,Selfie camera_Single,Selfie camera_Video,Sound_Loudspeaker ,Sound_3.5mm jack ,Comms_WLAN,Comms_Bluetooth,Comms_Positioning,Comms_NFC,Comms_Radio,Comms_USB,Features_Sensors,Battery_Talk time,Misc_Colors,Misc_Price,Network_3G bands,Network_4G bands,Network_,Network_Speed,Platform_GPU,Main Camera_Features,Memory_,Misc_Models,Body_Build,Main Camera_Triple,Selfie camera_Features,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_depth_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_os_ver,platform_chipset_manufacturer,platform_chipset_details,platform_chipset_node,platform_cpu_count,platform_cpu_speed_ghz,memory_card_slot,memory_internal_storage,memory_ram,main_camera_single_mp
acer,acer_chromebook_tab_10,No cellular connectivity, N/A,No,No,,"1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",720p,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct","4.1, A2DP, LE",,No,No,USB Type-C 3.1,Accelerometer,Up to 9 h (multimedia),"Black, Blue",About 330 EUR,,,,,,,,,,,,2018,1,4500,0,238.3,172.2,-1,544.3,0,0,0,0,0,0,0,ips lcd,60,9.7,91.4,71.0,1536,2048,264,chrome,os,rockchip,,,6,,microsdxc,32.0,4.0,5
acer,acer_iconia_talk_s,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1280 pixels, 16:9 ratio (~210 ppi density)",1080p@30fps,2 MP,720p,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct","4.0, A2DP","GPS, GLONASS",No,FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 9 h (multimedia),Black,About 170 EUR,HSDPA 850 / 1900 / 2100 ,"1, 3, 7, 8, 20",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,"HDR, panorama",,,,,,2016,1,3400,0,191.7,101.0,-1,260,2,0,1,1,0,0,0,ips lcd,60,7.0,135.1,69.8,720,1280,210,android,6.0,mediatek,,,4,1.3,microsdxc,32.0,2.0,13
acer,acer_iconia_one_8_b1_820,No cellular connectivity, N/A,No,No,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",1080p@30fps,VGA,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","GPS, GLONASS",No,No,microUSB 2.0,Accelerometer,Up to 8 h 30 min (multimedia),"Black, White",About 180 EUR,,,,,,,,,,,,2015,1,4550,0,213.9,127.7,-1,355,0,0,0,0,0,0,0,ips lcd,60,8.0,185.6,67.9,800,1280,189,android,5.0,intel,,,4,1.33,microsdhc,32.0,1.0,5
acer,acer_predator_8,No cellular connectivity, N/A,No,No,,"1920 x 1200 pixels, 16:10 ratio (~283 ppi density)",1080p@30fps,2 MP,,"Yes, with stereo speakers (4 speakers)",Yes,Wi-Fi 802.11 a/b/g/n,"4.0, A2DP, LE",,No,No,microUSB 2.0,Yes,Up to 8 h 30 min,Black/Silver,About 350 EUR,,,,,,,,GT-810-15NC,,,,2015,1,4420,0,217.9,127.0,-1,353.8,0,0,0,0,0,0,0,ips lcd,60,8.0,185.6,67.1,1920,1200,283,android,5.0,intel,,,4,1.6,microsdxc,64.0,2.0,5
acer,acer_liquid_z6_plus,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP",GPS,No,FM radio,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity",,"Black, White",About 250 EUR, HSDPA, LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP3,"LED flash, HDR, panorama",,,,,,2016,1,4080,0,153.8,75.6,-1,169,1,0,0,1,0,0,0,ips lcd,60,5.5,83.4,71.7,1080,1920,401,android,6.0,mediatek,,,8,1.3,microsdxc,32.0,3.0,13
acer,acer_liquid_x2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",1080p@30fps,"13 MP, f/1.8, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Up to 23 h (3G),"Black, Gold",About 230 EUR,"HSDPA 900 / 1900 / 2100 - Europe, Taiwan", LTE 800 / 1800 / 2100 / 2600 - Europe,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP4,LED flash,,,,,LED flash,2015,1,4020,1,153.3,78.8,-1,166,3,0,0,1,0,0,0,ips lcd,60,5.5,83.4,69.0,720,1280,267,android,5.1,mediatek,,,8,1.3,microsdhc,32.0,3.0,13
acer,acer_iconia_tab_a500,No cellular connectivity, N/A,No,No,,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR",GPS,,No,"microUSB 2.0, USB 2.0","Accelerometer, gyro, proximity",Up to 6 h,Black,About 200 EUR,,,,,ULP GeForce,LED flash,,,,,,2011,1,3260,0,260.0,177.0,-1,730,0,0,0,0,0,0,0,lcd,60,10.1,95.8,64.3,800,1280,149,android,3.0,nvidia,,,2,1.0,microsdhc,32.0,1.0,5
acer,acer_iconia_tab_10_a3_a30,No cellular connectivity, N/A,No,No,,"1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP",A-GPS only,Yes,No,microUSB 2.0,Accelerometer,Up to 7 h 30 min (multimedia),Black,About 250 EUR,,,,,,,,,,,,2015,1,5910,0,260.0,176.0,-1,540,0,0,0,0,0,0,0,led-backlit ips lcd,60,10.1,95.8,64.6,1920,1200,224,android,5.0,intel,,,4,1.33,microsdxc,64.0,2.0,5
acer,acer_liquid_jade_primo,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","4K@30fps, 1080p@30fps","8 MP, f/2.2",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE, EDR",GPS,No,FM radio,USB Type-C 3.1,"Accelerometer, gyro, proximity, compass",Up to 20 h (3G),Black,About 220 EUR,HSDPA 850 / 900 / 1900 / 2100 - Europe/ Taiwan, LTE 800 / 1800 / 2100 / 2600 - Europe,,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Adreno 418,"Dual-LED flash, HDR, panorama",,,,,,2015,1,2870,0,156.5,75.9,-1,150,2,0,1,0,0,1,1,amoled,60,5.5,83.4,70.2,1080,1920,401,microsoft,windows,qualcomm,,,6,1.8,microsdxc,32.0,3.0,21
acer,acer_liquid_zest,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",1080p@30fps,5 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,"Black, White",About 110 EUR,HSDPA 850 / 900 / 1900 / 2100 , LTE (unspecified),,"HSPA, LTE Cat4 150/50 Mbps",Mali-400MP2 - Z525Mali-T720MP2 - Z528,"LED flash, HDR, panorama",,,,,,2016,1,2000,1,145.7,71.2,-1,125,1,0,0,1,0,0,0,ips lcd,60,5.0,68.9,66.4,720,1280,294,android,6.0,mediatek,,,4,1.0,microsdhc,8.0,1.0,8
