manufacturer,device,Network_Technology,Misc_Price,Platform_GPU,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_chipset_manufacturer,platform_cpu_count,platform_cpu_speed_ghz,memory_card_slot,memory_internal_storage,memory_ram,main_camera_single_mp
acer,acer_iconia_talk_s,GSM / HSPA / LTE,About 170 EUR,Mali-T720MP2,2016,1,3400,0,191.7,101,260,2,0,1,1,0,0,0,ips lcd,60,7,135.1,69.8,720,1280,210,android,mediatek,4,1.3,microsdxc,32,2,13
acer,acer_iconia_one_8_b1_820,No cellular connectivity,About 180 EUR,,2015,1,4550,0,213.9,127.7,355,0,0,0,0,0,0,0,ips lcd,60,8,185.6,67.9,800,1280,189,android,intel,4,1.33,microsdhc,32,1,5
acer,acer_predator_8,No cellular connectivity,About 350 EUR,,2015,1,4420,0,217.9,127,353.8,0,0,0,0,0,0,0,ips lcd,60,8,185.6,67.1,1920,1200,283,android,intel,4,1.6,microsdxc,64,2,5
acer,acer_liquid_z6_plus,GSM / HSPA / LTE,About 250 EUR,Mali-T720MP3,2016,1,4080,0,153.8,75.6,169,1,0,0,1,0,0,0,ips lcd,60,5.5,83.4,71.7,1080,1920,401,android,mediatek,8,1.3,microsdxc,32,3,13
acer,acer_liquid_x2,GSM / HSPA / LTE,About 230 EUR,Mali-T720MP4,2015,1,4020,1,153.3,78.8,166,3,0,0,1,0,0,0,ips lcd,60,5.5,83.4,69,720,1280,267,android,mediatek,8,1.3,microsdhc,32,3,13
acer,acer_iconia_tab_a500,No cellular connectivity,About 200 EUR,ULP GeForce,2011,1,3260,0,260,177,730,0,0,0,0,0,0,0,lcd,60,10.1,95.8,64.3,800,1280,149,android,nvidia,2,1,microsdhc,32,1,5
acer,acer_iconia_tab_10_a3_a30,No cellular connectivity,About 250 EUR,,2015,1,5910,0,260,176,540,0,0,0,0,0,0,0,led-backlit ips lcd,60,10.1,95.8,64.6,1920,1200,224,android,intel,4,1.33,microsdxc,64,2,5
acer,acer_liquid_jade_primo,GSM / HSPA / LTE,About 220 EUR,Adreno 418,2015,1,2870,0,156.5,75.9,150,2,0,1,0,0,1,1,amoled,60,5.5,83.4,70.2,1080,1920,401,microsoft,qualcomm,6,1.8,microsdxc,32,3,21
acer,acer_liquid_zest,GSM / HSPA / LTE,About 110 EUR,Mali-400MP2 - Z525Mali-T720MP2 - Z528,2016,1,2000,1,145.7,71.2,125,1,0,0,1,0,0,0,ips lcd,60,5,68.9,66.4,720,1280,294,android,mediatek,4,1,microsdhc,8,1,8
acer,acer_liquid_jade_2,GSM / HSPA / LTE,,Adreno 418,2016,1,3000,0,156.6,75.9,150,2,0,1,0,0,1,0,super amoled,60,5.5,83.4,70.2,1080,1920,401,android,qualcomm,6,1.8,microsdxc,32,3,21
acer,acer_liquid_z6,GSM / HSPA / LTE,About 120 EUR,Mali-T720MP2,2016,1,2000,1,145.5,72.5,126,1,0,0,1,0,0,0,ips lcd,60,5,68.9,65.3,720,1280,294,android,mediatek,4,1.25,microsdxc,8,1,8
acer,acer_liquid_z520,GSM / HSPA,About 130 EUR,Mali-400MP2,2015,1,2000,1,154,86,118,1,0,0,1,0,0,0,tft,60,5,75.7,57.1,480,854,187,android,mediatek,4,1.3,microsdhc,16,2,8
acer,acer_iconia_tab_a3_a20,No cellular connectivity,About 190 EUR,Mali-450MP4,2014,1,5700,0,256.5,170.2,508,0,0,0,0,0,0,0,led-backlit ips lcd,60,10.1,95.8,67.8,1280,800,149,android,mediatek,4,1.3,microsdxc,16,1,5
acer,acer_iconia_a1_830,No cellular connectivity,About 130 EUR,PowerVR SGX544MP2,2014,1,4000,0,203,138.4,380,0,0,0,0,0,0,0,led-backlit ips lcd,60,7.9,193.3,68.8,768,1024,162,android,intel,2,1.6,microsdhc,16,1,5
acer,acer_iconia_tab_a701,GSM / HSPA,About 380 EUR,ULP GeForce,2012,1,9800,0,259.8,175,667,0,1,0,0,0,0,0,lcd,60,10.1,95.8,65.1,1920,1200,224,android,nvidia,4,1.3,microsdhc,64,1,5
acer,acer_liquid_e700,GSM / HSPA,About 200 EUR,Mali-400MP2,2014,1,3500,0,147.3,73,155,3,0,0,1,0,0,0,ips lcd,60,5,68.9,64.1,720,1280,294,android,mediatek,4,1.2,microsdhc,16,2,8
acer,acer_liquid_z200,GSM / HSPA,About 90 EUR,Mali-400,2014,1,1300,1,126,65,130,1,1,0,0,0,0,0,tft,60,4,45.5,55.6,480,800,233,android,mediatek,2,1,microsdhc,4,0.512,2
