manufacturer,device,Network_Technology,Network_2G bands,Network_GPRS,Network_EDGE,Body_Dimensions,Body_Weight,Body_SIM,Body,Display_Type,Display_Size,Display_Resolution,Platform_OS,Platform_Chipset,Platform_CPU,Memory_Card slot,Memory_Internal,Main Camera_Single,Main Camera_Video,Selfie camera_Single,Selfie camera_Video,Sound_Loudspeaker,Sound_3.5mm jack ,Comms_WLAN,Comms_Bluetooth,Comms_Positioning,Comms_NFC,Comms_Radio,Comms_USB,Features_Sensors,Battery_Type,Battery_Talk time,Misc_Colors,Misc_Price,Network_3G bands,Network_4G bands,Network_,Network_Speed,Platform_GPU,Camera_Features,Memory_,Misc_Models,Body_Build,Main Camera_Triple,Selfie camera_Features,Launch_year,IsAvailable
acer,acer_chromebook_tab_10,No cellular connectivity, N/A,No,No,238.3 x 172.2 x 9.9 mm (9.38 x 6.78 x 0.39 in),544.3 g (1.20 lb),No,Stylus,IPS LCD,"9.7 inches, 291.4 cm2 (~71.0% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",Chrome OS,Rockchip RK3399,Hexa-core (4x Cortex-A53 & 2x Cortex-A72),microSDXC (dedicated slot),32GB 4GB RAM,5 MP,720p,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct","4.1, A2DP, LE",,No,No,USB Type-C 3.1,Accelerometer,"Li-Po 4500 mAh, non-removable (34 Wh)",Up to 9 h (multimedia),"Black, Blue",About 330 EUR,,,,,,,,,,,,2018,1
acer,acer_iconia_talk_s,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,191.7 x 101 x 9.4 mm (7.55 x 3.98 x 0.37 in),260 g (9.17 oz),Dual SIM (Micro-SIM/Nano-SIM),,IPS LCD,"7.0 inches, 135.1 cm2 (~69.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~210 ppi density)",Android 6.0 (Marshmallow),Mediatek MT8735,Quad-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM","13 MP, AF",1080p@30fps,2 MP,720p,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct","4.0, A2DP","GPS, GLONASS",No,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 3400 mAh, non-removable (12.92 Wh)",Up to 9 h (multimedia),Black,About 170 EUR,HSDPA 850 / 1900 / 2100 ,"1, 3, 7, 8, 20","3, 7, 8, 28","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,"HDR, panorama",,,,,,2016,1
acer,acer_liquid_z6_plus,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,153.8 x 75.6 x 8.5 mm (6.06 x 2.98 x 0.33 in),169 g (5.96 oz),"Single SIM (Micro-SIM) or Hybrid Dual SIM (Micro-SIM, dual stand-by)",,IPS LCD,"5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,microSDXC (uses shared SIM slot),32GB 3GB RAM,"13 MP, AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP",GPS,No,FM radio,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity","Li-Po 4080 mAh, non-removable",,"Black, White",About 250 EUR, HSDPA, LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP3,"LED flash, HDR, panorama",,,,,,2016,1
acer,acer_iconia_tab_10_a3_a40,No cellular connectivity, N/A,No,No,259 x 167 x 8.9 mm (10.20 x 6.57 x 0.35 in),-,No,,IPS LCD,"10.1 inches, 295.8 cm2 (~68.4% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 6.0 (Marshmallow),Mediatek MT8163A,Quad-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM",5 MP,1080p@30fps,2 MP,,"Yes, with stereo speakers (4 speakers)",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.0, A2DP",,No,No,microUSB 2.0,Accelerometer,"Li-Ion 6100 mAh, non-removable",,Black,About 230 EUR,,,,,Mali-T720 MP2,,,,,,,2016,1
acer,acer_predator_8,No cellular connectivity, N/A,No,No,217.9 x 127 x 8.6 mm (8.58 x 5.0 x 0.34 in),353.8 g (12.49 oz),No,,IPS LCD,"8.0 inches, 185.6 cm2 (~67.1% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~283 ppi density)",Android 5.0 (Lollipop),Intel Atom x7-Z8700,Quad-core 1.6 GHz,microSDXC (dedicated slot),"32GB 2GB RAM, 64GB 2GB RAM",5 MP,1080p@30fps,2 MP,,"Yes, with stereo speakers (4 speakers)",Yes,Wi-Fi 802.11 a/b/g/n,"4.0, A2DP, LE",,No,No,microUSB 2.0,Yes,"Li-Po 4420 mAh, non-removable",Up to 8 h 30 min,Black/Silver,About 350 EUR,,,,,,,,GT-810-15NC,,,,2015,1
acer,acer_liquid_x2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,,,153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in),166 g (5.86 oz),Triple SIM (Micro-SIM),,IPS LCD,"5.5 inches, 83.4 cm2 (~69.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,microSDHC (dedicated slot),32GB 3GB RAM,"13 MP, f/1.8, AF",1080p@30fps,"13 MP, f/1.8, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 4020 mAh, removable",Up to 23 h (3G),"Black, Gold",About 230 EUR,"HSDPA 900 / 1900 / 2100 - Europe, Taiwan", LTE 800 / 1800 / 2100 / 2600 - Europe, LTE 700 / 900 / 1800 - Taiwan,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP4,LED flash,,,,,LED flash,2015,1
acer,acer_liquid_z6,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,145.5 x 72.5 x 8.5 mm (5.73 x 2.85 x 0.33 in),126 g (4.44 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,IPS LCD,"5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),Quad-core 1.25 GHz Cortex-A53,microSDXC,8GB 1GB RAM,"8 MP, AF",Yes,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable",,"Black, White",About 120 EUR, HSDPA, LTE (unspecified),,"HSPA, LTE",Mali-T720MP2,"LED flash, HDR, panorama",eMMC 5.0,,,,,2016,1
acer,acer_iconia_tab_10_a3_a30,No cellular connectivity, N/A,No,No,260 x 176 x 9.7 mm (10.24 x 6.93 x 0.38 in),540 g (1.19 lb),No,,LED-backlit IPS LCD,"10.1 inches, 295.8 cm2 (~64.6% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 5.0 (Lollipop),Intel Atom Z3735F,Quad-core 1.33 GHz,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM",5 MP,1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP",A-GPS only,Yes,No,microUSB 2.0,Accelerometer,"Li-Ion 5910 mAh, non-removable (22 Wh)",Up to 7 h 30 min (multimedia),Black,About 250 EUR,,,,,,,,,,,,2015,1
acer,acer_liquid_jade_primo,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,156.5 x 75.9 x 8.4 mm (6.16 x 2.99 x 0.33 in),150 g (5.29 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,AMOLED,"5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Microsoft Windows 10,Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),microSDXC (uses shared SIM slot),32GB 3GB RAM,"21 MP, f/2.2, AF","4K@30fps, 1080p@30fps","8 MP, f/2.2",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE, EDR",GPS,No,FM radio,USB Type-C 3.1,"Accelerometer, gyro, proximity, compass","Li-Po 2870 mAh, non-removable",Up to 20 h (3G),Black,About 220 EUR,HSDPA 850 / 900 / 1900 / 2100 - Europe/ Taiwan, LTE 800 / 1800 / 2100 / 2600 - Europe, LTE 700 / 1700 / 1900 / 2600 - USA,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Adreno 418,"Dual-LED flash, HDR, panorama",eMMC 5.0,,,,,2015,1
acer,acer_iconia_tab_a500,No cellular connectivity, N/A,No,No,260 x 177 x 13.3 mm (10.24 x 6.97 x 0.52 in),730 g (1.61 lb),No,,"LCD, 256K colors","10.1 inches, 295.8 cm2 (~64.3% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)","Android 3.0, upgradable to 4.0 (Ice Cream Sandwich)",Nvidia Tegra 2 T20,Dual-core 1.0 GHz Cortex-A9,microSDHC (dedicated slot),"16GB 1GB RAM, 32GB 1GB RAM","5 MP, AF",Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR",GPS,,No,"microUSB 2.0, USB 2.0","Accelerometer, gyro, proximity",Non-removable Li-Po 3260 mAh battery,Up to 6 h,Black,About 200 EUR,,,,,ULP GeForce,LED flash,,,,,,2011,1
