manufacturer,device,has_jack,has_loudspeaker,has_stereo,has_dual,average_dollar_price,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_cpu_count,platform_cpu_speed_ghz,memory_internal_storage,memory_ram,main_camera_single_mp
acer,acer_iconia_talk_s,1,1,0,0,181.9,2016,1,3400,0,191.7,101,260,2,0,1,1,0,0,0,ips lcd,60,7,135.1,69.8,720,1280,210,android,4,1.3,32,2,13
acer,acer_liquid_z6_plus,1,1,0,0,267.5,2016,1,4080,0,153.8,75.6,169,1,0,0,1,0,0,0,ips lcd,60,5.5,83.4,71.7,1080,1920,401,android,8,1.3,32,3,13
acer,acer_liquid_x2,1,1,0,0,246.1,2015,1,4020,1,153.3,78.8,166,3,0,0,1,0,0,0,ips lcd,60,5.5,83.4,69,720,1280,267,android,8,1.3,32,3,13
acer,acer_iconia_tab_a500,1,1,1,0,214,2011,1,3260,0,260,177,730,0,0,0,0,0,0,0,lcd,60,10.1,95.8,64.3,800,1280,149,android,2,1,32,1,5
acer,acer_liquid_jade_primo,1,1,0,0,235.4,2015,1,2870,0,156.5,75.9,150,2,0,1,0,0,1,1,amoled,60,5.5,83.4,70.2,1080,1920,401,microsoft,6,1.8,32,3,21
acer,acer_liquid_zest,1,1,0,0,117.7,2016,1,2000,1,145.7,71.2,125,1,0,0,1,0,0,0,ips lcd,60,5,68.9,66.4,720,1280,294,android,4,1,8,1,8
acer,acer_liquid_z6,1,1,0,0,128.4,2016,1,2000,1,145.5,72.5,126,1,0,0,1,0,0,0,ips lcd,60,5,68.9,65.3,720,1280,294,android,4,1.25,8,1,8
acer,acer_liquid_z520,1,1,0,0,139.1,2015,1,2000,1,154,86,118,1,0,0,1,0,0,0,tft,60,5,75.7,57.1,480,854,187,android,4,1.3,16,2,8
acer,acer_iconia_tab_a3_a20,1,1,1,0,203.3,2014,1,5700,0,256.5,170.2,508,0,0,0,0,0,0,0,led-backlit ips lcd,60,10.1,95.8,67.8,1280,800,149,android,4,1.3,16,1,5
acer,acer_iconia_a1_830,1,1,0,0,139.1,2014,1,4000,0,203,138.4,380,0,0,0,0,0,0,0,led-backlit ips lcd,60,7.9,193.3,68.8,768,1024,162,android,2,1.6,16,1,5
acer,acer_iconia_tab_a701,1,1,1,0,406.6,2012,1,9800,0,259.8,175,667,0,1,0,0,0,0,0,lcd,60,10.1,95.8,65.1,1920,1200,224,android,4,1.3,64,1,5
acer,acer_liquid_e700,1,1,1,0,214,2014,1,3500,0,147.3,73,155,3,0,0,1,0,0,0,ips lcd,60,5,68.9,64.1,720,1280,294,android,4,1.2,16,2,8
acer,acer_liquid_z200,1,1,0,0,96.3,2014,1,1300,1,126,65,130,1,1,0,0,0,0,0,tft,60,4,45.5,55.6,480,800,233,android,2,1,4,0.512,2
acer,acer_liquid_z530,1,1,0,0,160.5,2015,1,2420,1,144,70.3,145,1,0,0,1,0,0,0,ips lcd,60,5,68.9,68.1,720,1280,294,android,4,1.3,16,2,8
acer,acer_iconia_tab_a1_810,1,1,0,0,128.4,2013,1,4960,0,208.7,145.7,410,0,0,0,0,0,0,0,led-backlit ips lcd,60,7.9,193.3,63.6,768,1024,162,android,4,1.2,16,1,5
acer,acer_iconia_tab_a3,1,1,1,0,203.3,2013,1,7300,0,260,175,560,0,0,0,1,0,0,0,led-backlit ips lcd,60,10.1,95.8,65,800,1280,149,android,4,1.2,32,1,5
acer,acer_liquid_z3,1,1,0,0,107,2013,1,1500,1,109,60,120,1,0,0,1,0,0,0,tft,60,3.5,36.5,55.8,320,480,165,android,2,1,4,0.512,3.15
acer,acer_liquid_z220,1,1,0,0,96.3,2015,1,1300,1,125.3,64,120,1,1,0,0,0,0,0,ips lcd,60,4,45.5,56.8,480,800,233,android,2,1.2,8,1,5
acer,acer_liquid_z4,1,1,0,0,107,2014,1,1630,1,124,64,122,1,0,0,1,0,0,0,tft,60,4,45.5,57.4,480,800,233,android,2,1.3,4,0.512,5
acer,acer_liquid_s2,1,1,1,0,363.8,2013,1,3300,0,166,86.2,229,0,0,1,0,0,0,0,ips lcd,60,6,98.7,69,1080,1920,368,android,4,2.2,16,2,13
acer,acer_liquid_jade_z,1,1,0,0,214,2015,1,2300,0,143.5,69.8,110,2,0,1,0,0,1,1,ips lcd,60,5,68.9,68.8,720,1280,294,android,4,1.5,16,2,13
acer,acer_liquid_z630,1,1,0,0,214,2015,1,4000,1,156.3,77.5,165,1,0,0,1,0,0,0,ips lcd,60,5.5,83.4,68.8,720,1280,267,android,4,1.3,16,2,8
acer,acer_liquid,1,1,0,0,96.3,2009,1,1350,1,115,62.5,135,0,1,0,0,0,0,0,tft,60,3.5,34.9,48.5,480,800,267,android,,0.768,0.512,0.256,5
acer,acer_iconia_tab_a200,1,1,0,0,214,2012,1,3260,0,260,175,700,0,0,0,0,0,0,0,ips lcd,60,10.1,95.8,65,800,1280,149,android,2,1,16,1,2
