manufacturer,url
acer,https://www.gsmarena.com/acer-phones-f-59-0-r1-p1.php
alcatel,https://www.gsmarena.com/alcatel-phones-f-5-0-r1-p1.php
allview,https://www.gsmarena.com/allview-phones-f-88-0-r1-p1.php
amazon,https://www.gsmarena.com/amazon-phones-f-76-0-r1-p1.php
amoi,https://www.gsmarena.com/amoi-phones-f-28-0-r1-p1.php
apple,https://www.gsmarena.com/apple-phones-f-48-0-r1-p1.php
archos,https://www.gsmarena.com/archos-phones-f-90-0-r1-p1.php
asus,https://www.gsmarena.com/asus-phones-f-46-0-r1-p1.php
at&t,https://www.gsmarena.com/at&t-phones-f-57-0-r1-p1.php
benefon,https://www.gsmarena.com/benefon-phones-f-15-0-r1-p1.php
benq,https://www.gsmarena.com/benq-phones-f-31-0-r1-p1.php
benq_siemens,https://www.gsmarena.com/benq_siemens-phones-f-42-0-r1-p1.php
bird,https://www.gsmarena.com/bird-phones-f-34-0-r1-p1.php
blackberry,https://www.gsmarena.com/blackberry-phones-f-36-0-r1-p1.php
blackview,https://www.gsmarena.com/blackview-phones-f-116-0-r1-p1.php
blu,https://www.gsmarena.com/blu-phones-f-67-0-r1-p1.php
bosch,https://www.gsmarena.com/bosch-phones-f-10-0-r1-p1.php
bq,https://www.gsmarena.com/bq-phones-f-108-0-r1-p1.php
casio,https://www.gsmarena.com/casio-phones-f-77-0-r1-p1.php
cat,https://www.gsmarena.com/cat-phones-f-89-0-r1-p1.php
celkon,https://www.gsmarena.com/celkon-phones-f-75-0-r1-p1.php
chea,https://www.gsmarena.com/chea-phones-f-24-0-r1-p1.php
coolpad,https://www.gsmarena.com/coolpad-phones-f-105-0-r1-p1.php
cubot,https://www.gsmarena.com/cubot-phones-f-130-0-r1-p1.php
dell,https://www.gsmarena.com/dell-phones-f-61-0-r1-p1.php
doogee,https://www.gsmarena.com/doogee-phones-f-129-0-r1-p1.php
emporia,https://www.gsmarena.com/emporia-phones-f-93-0-r1-p1.php
energizer,https://www.gsmarena.com/energizer-phones-f-106-0-r1-p1.php
ericsson,https://www.gsmarena.com/ericsson-phones-f-2-0-r1-p1.php
