manufacturer,device,url
acer,acer_chromebook_tab_10,https://www.gsmarena.com/acer_chromebook_tab_10-9139.php
acer,acer_iconia_talk_s,https://www.gsmarena.com/acer_iconia_talk_s-8306.php
alcatel,alcatel_1b_(2022),https://www.gsmarena.com/alcatel_1b_(2022)-11706.php
alcatel,alcatel_1se_(2020),https://www.gsmarena.com/alcatel_1se_(2020)-10618.php
allview,allview_v4_viper_pro,https://www.gsmarena.com/allview_v4_viper_pro-10039.php
allview,allview_soul_x7_style,https://www.gsmarena.com/allview_soul_x7_style-10301.php
amazon,amazon_fire_max_11,https://www.gsmarena.com/amazon_fire_max_11-12382.php
amazon,amazon_fire_hd_10_(2021),https://www.gsmarena.com/amazon_fire_hd_10_(2021)-10881.php
amoi,amoi_e78,https://www.gsmarena.com/amoi_e78-2037.php
amoi,amoi_a100,https://www.gsmarena.com/amoi_a100-2019.php
apple,apple_iphone_11,https://www.gsmarena.com/apple_iphone_11-9848.php
apple,apple_iphone_15_pro_max,https://www.gsmarena.com/apple_iphone_15_pro_max-12548.php
archos,archos_oxygen_68xl,https://www.gsmarena.com/archos_oxygen_68xl-9594.php
archos,archos_diamond_omega,https://www.gsmarena.com/archos_diamond_omega-8903.php
asus,asus_rog_phone_8_pro,https://www.gsmarena.com/asus_rog_phone_8_pro-12746.php
asus,asus_zenfone_11_ultra,https://www.gsmarena.com/asus_zenfone_11_ultra-12820.php
at&t,at&t_quickfire,https://www.gsmarena.com/at&t_quickfire-2598.php
at&t,at&t_8525,https://www.gsmarena.com/at&t_8525-2601.php
benefon,benefon_esc!,https://www.gsmarena.com/benefon_esc!-44.php
benefon,benefon_twin,https://www.gsmarena.com/benefon_twin-41.php
benq,benq_b502,https://www.gsmarena.com/benq_b502-7048.php
benq,benq_p50,https://www.gsmarena.com/benq_p50-759.php
benq_siemens,benq_siemens_s88,https://www.gsmarena.com/benq_siemens_s88-1411.php
benq_siemens,benq_siemens_s68,https://www.gsmarena.com/benq_siemens_s68-1410.php
bird,bird_d636,https://www.gsmarena.com/bird_d636-1965.php
bird,bird_s288,https://www.gsmarena.com/bird_s288-949.php
blackberry,blackberry_key2_le,https://www.gsmarena.com/blackberry_key2_le-9292.php
blackberry,blackberry_priv,https://www.gsmarena.com/blackberry_priv-7587.php
blackview,blackview_bl9000,https://www.gsmarena.com/blackview_bl9000-12795.php
blackview,blackview_a200_pro,https://www.gsmarena.com/blackview_a200_pro-12469.php
blu,blu_g93,https://www.gsmarena.com/blu_g93-12460.php
blu,blu_view_3,https://www.gsmarena.com/blu_view_3-11258.php
bosch,bosch_com_509,https://www.gsmarena.com/bosch_com_509-140.php
bosch,bosch_com_207,https://www.gsmarena.com/bosch_com_207-134.php
bq,bq_aquaris_x,https://www.gsmarena.com/bq_aquaris_x-8642.php
bq,bq_aquaris_x2,https://www.gsmarena.com/bq_aquaris_x2-9198.php
casio,casio_g_zone_commando,https://www.gsmarena.com/casio_g_zone_commando-4550.php
casio,casio_g_zone_ravine_2,https://www.gsmarena.com/casio_g_zone_ravine_2-4551.php
cat,cat_s75,https://www.gsmarena.com/cat_s75-12140.php
cat,cat_s62,https://www.gsmarena.com/cat_s62-11300.php
celkon,celkon_millennia_xplore,https://www.gsmarena.com/celkon_millennia_xplore-7461.php
celkon,celkon_campus_prime,https://www.gsmarena.com/celkon_campus_prime-7617.php
